layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
10,3,1,14,664.8641117701999,66.52095528307241,116.16974091328163,1019.9842334625364,274.3849802791691
10,4,1,14,615.6137925949795,58.37742062516831,94.65101429491881,2955.773123325723,407.77953918449805
10,5,1,20,583.4198348376548,55.38558530365718,90.18982727901759,3807.576909022581,614.4046334911998
10,6,1,12,584.3264548275615,56.13104444181107,99.00829892399139,2827.7183770310403,515.40379142992
10,7,1,12,615.806426134629,44.42784300702727,120.03934191532935,1621.0952769805874,428.70703328312334
10,8,1,13,552.0699667684383,28.814338101363916,129.71237047260976,660.2615473767753,251.45259154466382
10,9,1,19,619.3380460201691,42.05820517755641,111.39250477391111,438.86200529404437,82.10107757015737
10,10,1,17,647.7163227522028,27.066599643037804,147.64280001125132,281.7472570057898,130.18076154414527
10,11,1,18,631.7398239361323,21.62418681694947,167.1698102108536,125.25257294827158,103.55708490717029
11,0,1,17,671.2668214690822,30.419125447780065,162.5851480895977,180.33986456522916,153.83759167403994
11,1,1,18,694.8498485444132,38.94124699711402,138.63830398834318,464.4974435299332,258.4634672122197
11,2,1,14,642.0454401536596,31.479216066406213,148.45019107071633,734.2865926909493,515.751195051341
11,3,1,10,652.491324216543,53.61859385710015,105.81126939412204,1537.3926866984432,375.7173493844853
11,4,1,10,617.1635629741812,45.478233424627334,92.88867541949794,3673.656570395895,287.91747883716414
11,5,1,8,651.5872296914789,52.04829876780118,91.7626435931632,4178.136242051771,118.21934185549458
11,6,1,8,624.3677695052725,52.45462143546668,86.95221171261312,2698.834293622141,215.16460141950284
11,7,1,17,579.9389407975433,44.31479083065643,101.24970043640859,1179.8101709213288,115.9316093569641
11,8,1,18,666.0562393720797,52.75746988596021,129.377075107617,431.7573485606414,203.7804474255469
11,9,1,18,676.8487843901887,49.62975954366446,138.30344771805176,262.69240718786546,182.18188317862527
11,10,1,22,661.6112957056065,48.47324783260561,133.3766060947403,166.929333956225,50.49606446163897
11,11,1,18,690.549700988309,19.283195389666187,179.3415646920206,95.29554848870713,72.756731984742
12,0,0,30,607.1458507379893,59.76606506283413,91.76867171994282,150.4881590147658,42.64504432461529
12,1,0,19,598.3441424411712,38.166502830523626,117.82448068025802,460.39394088247946,72.23407454230167
12,2,0,15,572.5751376623789,52.83500790132923,101.17289950095925,792.5685319523678,278.0952940799735
12,3,0,15,593.596888716976,41.203960621712376,112.24582657683987,1220.4284383205732,295.3669835670806
12,4,0,20,631.5575412808372,50.000435299844696,95.945955811751,3037.19062712273,54.66578717072318
12,5,0,15,621.788634037147,44.11417896087083,103.74366960674142,3743.0284821421624,212.96157759411201
12,6,0,10,602.1603167678014,56.48688946821056,96.54656305760905,2818.7143732371746,811.5631563039468
12,7,0,10,541.7726769023785,49.832541854992336,96.57079217371981,1773.4645775065655,689.8861572576259
12,8,0,10,612.3945602384961,57.91550249298295,130.76927792696227,557.2711533234116,505.0496392838788
12,9,0,16,663.097531064634,41.544142380514245,138.04497726917853,391.55968169667216,182.77595475219422
12,10,0,16,646.8310200590238,41.517154874170245,143.92603836469291,265.3598291489735,147.99606678281103
12,11,0,17,656.3560296215323,40.846958210504596,158.08557815911888,126.50176073466669,115.65548591336342
13,0,0,16,599.1755228969075,44.7515904990944,128.97864913477562,202.16453718192088,118.53631540872567
13,1,0,15,644.403249903635,53.30734953199974,105.07830573256032,491.87988424636444,80.6396119852791
13,2,0,16,661.5356383615698,45.3447500115896,122.47320858828346,725.4669318892211,224.20280817050016
13,3,0,20,679.0634663685657,47.89762299028775,124.00535805354568,1377.8907908953925,176.31342185674436
13,4,0,20,714.5735844755259,57.266185997481664,112.16939021085955,2945.975601849394,345.9801880359845
13,5,0,16,670.0289421516502,55.48725511432287,101.46914725433216,3782.3894582767043,342.9098517743265
13,6,0,16,667.0051094617214,49.56176042452617,108.40489947462606,2468.1629575629668,112.02563389829412
13,7,0,20,621.5169694159626,46.03714116828721,111.58175545496516,1111.4302715682054,192.01976207203643
13,8,0,20,659.4520375771095,47.14392628066857,134.12785953940968,437.4271760313126,211.63191716392606
13,9,0,16,657.3682893391743,58.24910192370078,143.5342077410148,249.31992392666018,256.1327011153656
13,10,0,9,311.6236288112065,25.734823462867652,85.6757780908053,300.00741531824457,65.76328352702939
13,11,0,13,619.1939910487762,30.19165451997208,179.09554321094953,89.93597768393397,145.57197068772837
14,0,0,24,595.8140536105986,32.27710545252618,143.32258417822254,151.70751526324648,45.74175015176666
14,1,0,20,627.9116873636782,42.34958629858385,119.9034916823053,453.66318882306695,93.43073906077207
14,2,0,23,651.4238784779981,44.11908056084548,121.97380897877247,739.5169276533946,149.51188831568913
14,3,0,16,562.4831125252122,54.757873886459805,99.30984405363422,1221.3252524358918,461.920208715246
14,4,0,15,623.0257156059679,49.09711338891542,97.3490252014703,2997.5010514983505,68.97272567134527
14,5,0,16,678.3258939604693,54.395055104924836,112.77984357166883,3363.2200603980646,857.2796428912324
14,6,0,15,609.6415721297068,44.332145549112454,104.20950440861114,2848.976276235494,189.8069821372927
14,7,0,16,632.248170872762,40.290130013387106,118.6443991122292,1622.4310531338162,403.48874277409993
14,8,0,16,606.4055382102493,50.87236005350067,117.28236064089408,613.4604854098737,142.1766265667734
14,9,0,15,582.4470457486792,47.15058252829159,108.52257926010401,440.8383410065726,160.68594517034919
14,10,0,15,616.360089546931,33.29942594019346,153.47097692112834,273.46908728849576,102.10344585001911
14,11,0,15,629.4407140456351,42.242722108022456,151.80107981637127,130.8867482088613,96.67748011951397
15,0,0,15,608.6905370924135,64.22208779611493,74.80232224505167,228.22552042122362,253.53683134378386
15,1,0,16,639.3341019897399,52.08891698795448,114.91903073193409,472.4334885258565,206.70173306236265
15,2,0,16,634.5009104330504,60.51389274918887,92.29217621171166,750.9004804061946,48.74811297196217
15,3,0,15,636.2984757052368,57.433184467929856,104.87518364363076,1448.2656196316777,110.13668062973245
15,4,0,16,644.3734567452273,60.64752400434846,95.38629900543775,3124.967482777536,479.29692368529015
15,5,0,16,651.3862198399114,66.69765499115026,71.66131628074675,3858.8704003470016,241.20718283053665
15,6,0,15,639.9442507184375,76.69867220137797,55.64325706373863,2459.8464526862244,222.29484518790616
15,7,0,15,606.3787023223127,61.157472314964615,59.90762588752303,1248.429504723136,85.56816970360522
15,8,0,14,601.8787766649929,74.57272903426133,92.98539502195248,449.2188650690726,339.55653048362404
15,9,0,16,626.0896163198214,53.43676174621591,95.18590673661775,303.2808541332796,282.7422229348669
15,10,0,10,582.6136628405609,66.27268142497749,54.75305181697707,208.37925507834743,179.6522145093359
15,11,0,16,704.6308204444472,32.47798200017774,201.40746252801583,84.56734832475861,47.358866447434195
16,0,0,14,613.436897883633,66.71077902214475,89.32347029980515,158.53819400040905,376.8947589518573
16,1,0,18,614.1513589447468,44.199278568724075,109.5041420841571,457.0098169125596,263.48247425056417
16,2,0,17,575.7301799947081,66.35065599584355,45.33799263215978,873.0277486973771,147.78169970962313
16,3,0,18,554.539646708241,31.845845122946812,102.496058268341,1368.6521982565605,328.24793166229296
16,4,0,16,513.1941861304336,48.21028043777246,86.57085172977315,3168.36003434721,1196.254921122476
16,5,0,14,585.8937553673173,47.96532058007949,66.7222659819257,4302.485131687659,500.8865885316452
16,6,0,10,572.666206636915,39.09371703732037,76.39566018799034,3493.630297881835,571.4158652568951
16,7,0,17,673.411413305292,61.34963030674299,98.58623317266036,1524.3088015452477,81.37022148089477
16,8,0,18,680.6489342702446,54.20321336823984,140.88318769078953,533.4721515556731,207.38472773328104
16,9,0,18,674.5919490885574,61.55420545103859,121.00899006910659,358.2680640979818,78.50488280158233
16,10,0,20,721.1950786499798,64.79958245078198,136.53619022434285,240.4439791464325,79.91665114460407
16,11,0,18,607.4387428533917,54.284111403887785,115.38860324596787,142.17060698937263,152.9017687224221
17,0,0,18,504.30499009234745,32.315481666831865,134.5447845568784,226.87577568735372,87.90895583130961
17,1,0,15,582.7989784483112,42.76979393510484,77.19672584388823,596.2957139770311,72.45637526624857
17,2,0,18,561.5828574284702,33.09048120441181,125.68343103066952,745.2234524914265,285.33977806232076
17,3,0,15,578.7115218408801,49.987250480511605,72.06166249817262,1792.61774802937,599.6918881448727
17,4,0,15,595.7349915096651,39.52645996116461,99.11301070847212,3483.130268434656,1612.2379807305203
17,5,0,15,669.9517906518402,56.194571017700405,74.54547325194069,4038.175963011392,343.45590134021427
17,6,0,15,633.6265422549509,52.677329630452995,72.11001301694854,2777.489344151436,261.5955197138403
17,7,0,12,624.8919491343598,50.726006736771026,93.15371779448273,1144.0200498809659,854.7492808021007
17,8,0,18,632.5557187846127,37.11758179462007,114.44892729273657,494.96568836314856,317.37331273420557
17,9,0,18,573.4552137831245,37.945749827329955,120.45712197698803,301.3126322611303,193.16445745206767
17,10,0,15,611.7418051640778,25.36407053474312,133.62772376823037,191.36283945985306,155.28262152386586
17,11,0,15,590.0712295021948,29.61373432978115,126.23326040842127,114.03599100895018,99.28204662410923
18,0,0,9,555.6619029887939,9.329657971957939,166.52341042017895,161.76326332971405,157.03219952351222
18,1,0,10,568.4669083835904,36.85788846711285,152.55464085508066,407.1643993106501,229.10211873846882
18,2,0,12,616.6603243428316,46.49862502699052,86.26347510473931,832.721393044772,413.9322592857527
18,3,0,20,605.1023485381153,39.13393588748148,118.06661436910757,1173.81552579473,493.1585108616571
18,4,0,10,619.9592223679721,37.251811035823216,98.9291007719201,3063.8100619150173,634.2556459051551
18,5,0,10,588.3151119122729,37.70191550345421,86.3837907407632,4024.7705587531236,728.2300886045379
18,6,0,10,626.6841315822893,40.64008663626593,89.6973952246896,3083.8604804170077,537.9093337981917
18,7,0,10,627.7114652746683,36.491220513842336,116.8696899596211,1618.3082636390266,634.5636120227915
18,8,0,10,548.3386372026089,49.35358119931254,69.84903217293876,799.783373034586,84.7839100023198
18,9,0,20,526.6483490683158,65.50921697613799,30.37191812605253,499.18265260775485,245.6454670402236
18,10,0,20,541.5608309047847,42.197820386094094,75.33357200561183,384.8261110738851,68.22751785019358
18,11,0,10,534.5521531651513,73.38422309023561,40.98106721259681,184.88690346241202,206.9712634894888
19,0,0,10,575.6864472993308,32.91740623695662,99.29872308084684,260.7014250058957,61.20499779443858
19,1,0,20,563.3752060488298,20.133472877223582,123.36200686964882,526.6974864697132,198.49006153010933
19,3,0,20,542.8415920454228,36.361934477458185,90.2250142714963,1770.9312359736346,547.6980925279702
19,4,0,18,597.4688147802967,35.061014030877494,97.88489960192032,3492.7990318235343,763.2886540561692
19,5,0,6,607.407211565404,47.91664743818877,75.05210555292904,4356.253221367929,605.9381137821213
19,6,0,6,610.5066095137469,33.64308182034266,117.18228357978624,2501.6558074686504,751.130961679169
19,7,0,10,633.060680612876,51.92028157362961,93.38208961081892,1166.85086857235,896.7889983044251
19,8,0,20,562.4946123646641,56.232679783845846,78.29664330756617,533.8894945494548,237.6707230322037
19,9,0,18,616.8906527626384,58.93189267649239,85.56671687010254,309.9195188084423,30.023725260574206
19,10,0,10,546.9068187748405,40.82244590061589,72.19779612254138,253.2104716433447,19.1492887873408
19,11,0,12,665.3160194868584,44.76112416402435,154.08468848736098,95.21380725183107,112.65635318064447
